t,temperature_f,wind_direction,short_forecast,is_daytime,wind_speed_mph
2026-07-28 14:00:00+00:00,84,SW,Mostly Sunny,True,5.0
2026-07-28 15:00:00+00:00,87,SW,Mostly Sunny,True,7.0
2026-07-28 16:00:00+00:00,89,SW,Mostly Sunny,True,8.0
2026-07-28 17:00:00+00:00,90,SW,Mostly Sunny,True,9.0
2026-07-28 18:00:00+00:00,91,SW,Mostly Sunny,True,12.0
2026-07-28 19:00:00+00:00,91,SW,Partly Sunny,True,12.0
2026-07-28 20:00:00+00:00,90,SW,Partly Sunny,True,13.0
2026-07-28 21:00:00+00:00,89,SW,Partly Sunny,True,13.0
2026-07-28 22:00:00+00:00,88,SW,Mostly Cloudy,False,13.0
2026-07-28 23:00:00+00:00,86,SW,Partly Cloudy,False,12.0
2026-07-29 00:00:00+00:00,84,SW,Partly Cloudy,False,12.0
2026-07-29 01:00:00+00:00,84,SW,Slight Chance Showers And Thunderstorms,False,13.0
2026-07-29 02:00:00+00:00,83,SW,Chance Showers And Thunderstorms,False,14.0
2026-07-29 03:00:00+00:00,82,SW,Chance Showers And Thunderstorms,False,16.0
2026-07-29 04:00:00+00:00,82,SW,Chance Showers And Thunderstorms,False,15.0
2026-07-29 05:00:00+00:00,81,SW,Showers And Thunderstorms Likely,False,14.0
2026-07-29 06:00:00+00:00,81,W,Chance Showers And Thunderstorms,False,13.0
2026-07-29 07:00:00+00:00,79,W,Chance Showers And Thunderstorms,False,12.0
2026-07-29 08:00:00+00:00,79,W,Slight Chance Showers And Thunderstorms,False,12.0
2026-07-29 09:00:00+00:00,78,W,Partly Cloudy,False,10.0
2026-07-29 10:00:00+00:00,77,W,Mostly Sunny,True,9.0
2026-07-29 11:00:00+00:00,77,W,Sunny,True,8.0
2026-07-29 12:00:00+00:00,79,NW,Sunny,True,8.0
2026-07-29 13:00:00+00:00,81,NW,Sunny,True,8.0
2026-07-29 14:00:00+00:00,84,NW,Sunny,True,8.0
2026-07-29 15:00:00+00:00,87,NW,Sunny,True,8.0
2026-07-29 16:00:00+00:00,90,W,Sunny,True,8.0
2026-07-29 17:00:00+00:00,91,W,Mostly Sunny,True,8.0
2026-07-29 18:00:00+00:00,92,W,Mostly Sunny,True,7.0
2026-07-29 19:00:00+00:00,93,W,Mostly Sunny,True,8.0
2026-07-29 20:00:00+00:00,92,W,Sunny,True,8.0
2026-07-29 21:00:00+00:00,91,W,Sunny,True,8.0
2026-07-29 22:00:00+00:00,90,W,Mostly Clear,False,7.0
2026-07-29 23:00:00+00:00,88,W,Mostly Clear,False,5.0
2026-07-30 00:00:00+00:00,85,W,Mostly Clear,False,3.0
2026-07-30 01:00:00+00:00,82,W,Mostly Clear,False,3.0
2026-07-30 02:00:00+00:00,81,W,Mostly Clear,False,3.0
2026-07-30 03:00:00+00:00,80,W,Mostly Clear,False,3.0
2026-07-30 04:00:00+00:00,79,W,Mostly Clear,False,3.0
2026-07-30 05:00:00+00:00,78,W,Mostly Clear,False,3.0
2026-07-30 06:00:00+00:00,76,NW,Mostly Clear,False,3.0
2026-07-30 07:00:00+00:00,75,NW,Mostly Clear,False,3.0
2026-07-30 08:00:00+00:00,74,NW,Mostly Clear,False,5.0
2026-07-30 09:00:00+00:00,73,NW,Mostly Clear,False,5.0
2026-07-30 10:00:00+00:00,73,NW,Sunny,True,6.0
2026-07-30 11:00:00+00:00,74,NW,Sunny,True,6.0
2026-07-30 12:00:00+00:00,75,NW,Sunny,True,7.0
2026-07-30 13:00:00+00:00,78,NW,Sunny,True,7.0
2026-07-30 14:00:00+00:00,81,NW,Sunny,True,7.0
2026-07-30 15:00:00+00:00,84,NW,Sunny,True,6.0
2026-07-30 16:00:00+00:00,87,NW,Sunny,True,6.0
2026-07-30 17:00:00+00:00,89,W,Sunny,True,6.0
